Date,SPX.open,SPX.high,SPX.low,SPX.close,SPX.volume,SPX.total_ret_index_gross_dvd,SPX.total_ret_index_net_dvd
2014-04-30,1877.1,1885.2,1872.69,1883.95,645938400.0,7341.0654,4840.4565
2014-05-01,1884.39,1888.59,1878.04,1883.68,482317380.0,7340.486,4840.074
2014-05-02,1885.3,1891.33,1878.5,1881.14,480716400.0,7330.588,4833.5474
2014-05-05,1879.45,1885.51,1866.77,1884.66,426896860.0,7344.8633,4842.9604
2014-05-06,1883.69,1883.69,1867.72,1867.72,490144200.0,7278.9995,4799.532
2014-05-07,1868.53,1878.83,1859.79,1878.21,612165600.0,7322.984,4828.534
2014-05-08,1877.39,1889.07,1870.05,1875.63,511345760.0,7314.7705,4823.118
2014-05-09,1875.27,1878.57,1867.02,1878.48,488678720.0,7327.2163,4831.3247
2014-05-12,1880.03,1897.13,1880.03,1896.65,464325760.0,7398.2773,4878.1797
2014-05-13,1896.75,1902.17,1896.06,1897.45,427819550.0,7403.2427,4881.454
2014-05-14,1897.13,1897.13,1885.77,1888.53,437091840.0,7369.8745,4859.452
2014-05-15,1888.16,1888.16,1862.36,1870.85,561061700.0,7302.2524,4814.8643
2014-05-16,1871.19,1878.28,1864.82,1877.86,637825150.0,7329.654,4832.932
2014-05-19,1876.66,1886.0,1872.42,1885.08,444486800.0,7358.36,4851.86
2014-05-20,1884.88,1884.88,1868.14,1872.83,449739460.0,7310.7837,4820.4893
2014-05-21,1873.34,1888.8,1873.34,1888.03,421479300.0,7371.166,4860.3037
2014-05-22,1888.19,1896.33,1885.39,1892.49,398900400.0,7389.599,4872.458
2014-05-23,1893.32,1901.26,1893.32,1900.53,386249660.0,7421.099,4893.228
2014-05-27,1902.01,1912.28,1902.01,1911.91,479164000.0,7465.604,4922.573
2014-05-28,1911.77,1914.46,1907.3,1909.78,421454050.0,7458.4116,4917.8306
2014-05-29,1910.6,1920.03,1909.82,1920.03,379231800.0,7499.4062,4944.861
2014-05-30,1920.33,1924.03,1916.64,1923.57,609798400.0,7513.265,4953.999
2014-06-02,1923.87,1925.88,1915.98,1924.97,383535260.0,7519.443,4958.0723
2014-06-03,1923.07,1925.07,1918.79,1924.24,419737300.0,7516.958,4956.434
2014-06-04,1923.06,1928.63,1918.6,1927.88,410844640.0,7532.5596,4966.721
2014-06-05,1928.52,1941.74,1922.93,1940.46,439411360.0,7582.202,4999.4536
2014-06-06,1942.41,1949.44,1942.41,1949.44,459428350.0,7618.387,5023.313
2014-06-09,1948.97,1955.55,1947.16,1951.27,433737150.0,7625.907,5028.2715
2014-06-10,1950.34,1950.86,1944.64,1950.79,412486000.0,7624.072,5027.0615
