name,assetclass,subgroup,style,maturity,duration,direction,accuracy,observed,improvement,pmi.above,nmi.above,cpi.above,pmi1m.above,pmi3m.above,pmi6m.above,pmi9m.above,pmi12m.above,nmi1m.above,nmi3m.above,nmi6m.above,nmi9m.above,nmi12m.above,cpiyoy1m.above,cpiyoy3m.above,cpiyoy6m.above,cpiyoy9m.above,cpiyoy12m.above,cpiyoy1m.diff,cpiyoy3m.diff,cpiyoy6m.diff,cpiyoy9m.diff,cpiyoy12m.diff,pmi1m.diff,pmi3m.diff,pmi6m.diff,pmi9m.diff,pmi12m.diff,nmi1m.diff,nmi3m.diff,nmi6m.diff,nmi9m.diff,nmi12m.diff
Vanguard Short-Term Treasury ETF,Debt,Govt/Agency-Short Term,,1.958428169,1.831229711,down,0.59,0.33,0.26,0.5302396155465147,0.28275178487994457,-0.46855971425250514,-0.2649092521653603,0.1667858380559832,0.11184348274198357,-0.22747162129268925,0.04486610457881304,-0.5144029768896979,-0.8515415640675313,1.1052477334361304,-0.8080189582845667,-0.05155364055996254,0.3595306911265585,-0.13174867262180998,0.3418463051714041,0.10597853504771708,0.055186462146847186,-0.3500897546047273,-0.39446492673988703,0.08769390651597561,0.4725684345488605,-0.04427615742788088,-0.21986659817102724,0.633271404420326,-0.6616516998067012,0.22527584625499253,-0.1448854311379578,0.01321197292351007,-0.3137197891882565,0.5837097507012357,0.029431031033361303,-0.053478155226047736
Vanguard Intermediate-Term Treasury ETF,Debt,Govt/Agency-Inter Term,,5.649489193,5.023209956,down,0.7,0.33,0.37,0.7027462975827289,0.015247569033919363,-0.0024868694030105057,-0.27817329838491284,0.21339236307512033,-0.13778570884102437,-0.4551939291548779,-0.7502552331575414,-0.4660371605521971,-0.3269910438071069,1.203461641140342,-0.9294225789494602,-0.015008790462943889,0.5030130612138883,0.1312359218978462,-0.030208070971034878,-0.11759668201041283,-0.08942358597260522,-0.20063810436304844,-0.40333547174534873,0.2093768715123801,0.23023427764950258,0.10126624190387863,-0.2934745260285748,0.5505516877751607,-0.407356146579537,0.10762640153655365,0.07141870995197147,0.1203510696831205,-0.33320693676584356,0.41338978196670617,-0.27839020796806135,0.11647919823098801
iShares 1-5 Year Investment Grade Corporate Bond ETF,Debt,Govt/Corp Short Term,,2.941271678,2.618746335,down,0.7,0.33,0.37,-0.05272308860507292,0.056318092010639406,-0.05687644956192211,-0.5769921426066665,0.5986759154789693,-0.6842139040587008,0.5310899432846184,-0.015421961772870809,-0.2765207870402264,-0.1900410154671929,1.061730592085471,-0.7099867398488394,0.333898960146963,0.23768183003486562,-0.07989605362423108,0.412618505394594,0.008495980383687885,0.3299587900924264,-0.15220907716021215,-0.7169653689463148,0.6089601042055508,-0.042494905464139136,0.022587759566300113,-0.6314235247991403,0.02101845829951305,-0.020737384949561954,-0.2304030668431126,0.08477928399190672,0.19429415622906882,-0.013243272965009056,0.2633922027828488,-0.19617964609598829,0.2157566796345891
iShares iBoxx $ High Yield Corporate Bond ETF,Debt,Corp/Pref-High Yield,,4.658585101,3.67556947,down,0.59,0.33,0.26,-0.28532165027973244,-0.2958390737567664,0.5136233479528798,0.26004319776961454,0.04227110639138975,0.02245629113887583,0.19522420830396045,0.35393776390736076,-0.10665336713403333,-0.13208346943484145,1.6534850958570875,-0.7685074681396497,0.20890278299283416,0.1747702625092399,-0.19120813244630683,0.27840244583478324,-0.403892211709384,-0.3002215403575482,-0.5688690981129756,-0.24346007346151244,0.3754578209586858,-0.2975321893737075,0.3146517713273582,-0.327772643138207,-0.0812961840050141,0.09228865279923804,0.08937877746871009,-0.13067866051791122,-0.2030471687753666,0.370979541384239,-0.14733567259129365,0.03620400067680821,-0.11296576252943595
iShares Short Treasury Bond ETF,Debt,Govt/Agency-Short Term,,0.269452763,0.25609057,down,0.93,0.33,0.6,0.4283517090347133,0.6285239498486193,-0.7781578423046801,-0.718883295708755,-0.20234916651448576,-0.26657766093235824,0.8386321110958441,-0.5733432494000167,0.16151997001705437,-0.32628431833578475,0.39329046536063444,0.23746270489121274,0.5379120974794864,-0.6206607996319564,-0.5956998375910432,0.9854028841974465,0.6590120762980352,0.5219642131411354,-0.7172088450125157,-0.7177649306386588,0.03764450918371711,0.27742298805006665,0.27267390781734563,-0.640957291861148,0.33574137561496453,-0.7652100987988967,0.4422878841640458,0.09552705702582107,-0.1015062358788712,0.026637985394353702,0.35904897265087915,-0.11275817116057674,-0.24783766258144907
iShares TIPS Bond ETF,Debt,Government/Agency,,7.766649952,6.716482128,down,0.67,0.33,0.34,0.4826089561979067,0.19368328883028715,0.16595637945149555,-0.654032204690855,0.2441108039689165,-0.10810583481696678,-0.36579402754714413,0.20233931827276694,-0.7010595308804719,-0.4913729384988747,1.4705580326367949,-1.2565677113464948,-0.09218272314864416,0.4989919041290453,-0.22899721731914402,-0.39382790109883525,0.5806469214347146,0.44961257719085834,-0.33425240179296606,-0.2022739611016649,-0.20218061480125446,-0.15231406685988919,0.19251445209370002,-0.39963641081646356,0.6333382270003308,-0.5228114915101573,0.12785741077150078,-0.08585092935606739,0.4240046382637956,-0.6475705109424704,0.6539664523910315,0.33870242078505236,-0.37647492816986833
Vanguard Intermediate-Term Bond ETF,Debt,Govt/Corp Intermediate,,7.28308481,6.215876201,down,0.63,0.33,0.3,-0.11578606787378402,0.057073677266422145,0.024956479213478624,0.2750416531934781,0.6195961172268372,-0.6748581765006149,-0.5287207577256777,-0.13961417434083753,-0.6162779619379042,-0.17546295972438536,1.2623573121388862,-1.1817021977954363,0.23197150161884209,0.6514880399980044,0.10541257234089393,0.2646279369221608,0.28423364032175663,0.07795346550559316,-0.12450169324985182,-0.5934662544132268,-0.010084685341113916,0.30847320886259216,0.18424822772020008,-0.5230567507487752,0.42056729441560226,-0.39725137462503907,0.06304220798936404,0.03609024089159045,-0.08514240292862728,-0.20338495621528416,0.4380134924202221,-0.006533742613109681,0.07912441175358306
iShares Preferred and Income Securities ETF,Debt,Corporate/Preferred,,,,down,0.37,0.33,0.04,0.4478242340025612,0.1597375604595753,0.321678168843792,0.4655806963917937,0.4908188824964757,-0.37727246107793333,0.2785242516582258,-0.8310092321783952,-0.36635127551730357,-0.6327584257665387,0.6257051890824186,-1.7241722308889906,0.5255101888795415,0.8443438890104549,0.45284236139625056,-0.3861042808270289,0.06255016776932062,0.335082260670034,-0.2823569881741271,-0.8781709607847301,0.453075574686161,-0.2699254258883059,0.04197380178047872,-0.24761854015985477,0.041640215155032155,-0.10112734242390316,-0.09414554209277379,0.2349833214600399,-0.010187442991983974,0.13123678766858538,0.21878695770069795,0.1603376585828401,-0.3360208066681718
iShares 3-7 Year Treasury Bond ETF,Debt,Govt/Agency-Inter Term,,4.839958765,4.375369549,down,0.59,0.33,0.26,0.8437257275980922,0.26599460838525674,-0.16507646043228336,-0.6305578484038187,0.02665831095800349,0.1296597654073655,-0.31113250861814623,-0.20457358142839832,-0.6373384723777434,-0.35860057112875027,0.9875980752814192,-1.2046038589002617,-0.0671426342389659,0.2918423165247938,0.13409053503481444,-0.11866144177071797,-0.15191863223684435,-0.3477237031846062,-0.2875876917190262,-0.44712993750500696,0.3681349448101584,0.30729632626257614,0.04304090164674178,0.10042397150088454,0.5417122932235815,-0.4767474832554349,0.1515970931901651,-0.06624744719731858,0.14178878187519686,-0.33169115282960865,0.5328995125787203,-0.0763159760433578,-0.045108933889352124
iShares 5-10 Year Investment Grade Corporate Bond ETF,Debt,Corp/Pref-Inv Grade,,7.431257305,6.132573608,down,0.67,0.33,0.34,0.5162400850259213,0.28107870407342417,0.3383932941800415,-0.08418029215833321,0.35711352249201406,-0.4690132833218165,-0.20285566267923832,-0.13490088178418902,-0.5678690135516263,-0.3291453943672189,1.1454697525962552,-0.9935769308475746,-0.1355661847604698,-0.1536533914215855,0.16945773697270758,0.4047360457344852,0.3271022258042904,0.14983424371775572,-0.6442339161393292,-0.40675557751592056,0.07255247628603453,0.01730552452221314,0.1735221199704359,-0.765175012579308,0.5558605876293773,-0.38576068380717826,0.023958495314258133,-0.014534786697637433,-0.0032168907321004684,-0.23199453476386078,0.40800492506030583,-0.1203481325466142,0.17207396034412295
Schwab Short-Term U.S. Treasury ETF,Debt,Govt/Agency-Short Term,,1.954342007,1.832508683,down,0.67,0.33,0.34,0.7277840023131811,0.34827056856701977,-0.5518733011899973,-0.4767478481431365,0.22143869816272424,-0.035133970328806836,-0.07239372983871929,-0.2608430989937087,-0.37271768978435416,-0.3851785846515854,1.0035324201172755,-0.8347812637581316,-0.31088844547431893,0.3639513166144589,-0.2328443214830751,-0.221033556554328,0.39927833725724815,0.33745675754679844,-0.27331240148917096,-0.8161289516213681,0.4030168358264895,0.2027991544179866,-0.06308047996854683,0.06308225125066903,0.46988867802687784,-0.6709281366772994,-0.03004292694832629,0.14700025193517663,0.3181565238957538,-0.22002254191595053,0.5404584970985568,0.07796235145103404,-0.16265744309880023
Schwab US TIPS ETF,Debt,Government/Agency,,7.764484973,6.709469195,down,0.63,0.33,0.3,0.4652655812103859,0.22779359757256706,0.09353323424939337,-0.6437156395724908,0.3051948303161155,-0.2583497319985089,-0.2473558850181817,0.4117683132136303,-0.663158125035113,-0.3323671898905426,1.1451104632865985,-1.1377983689940756,-0.18254993517309548,0.5692001811139207,0.16647187816484754,-0.44185093084674204,0.5254407575635452,0.5316735237635808,-0.0645548238353771,-0.27345625725007866,-0.27803444079214706,-0.1881214309814928,0.3407244804598018,-0.5631392287026368,0.5910591034579218,-0.44600256662322063,0.2191508155529691,-0.2100860288072141,0.31990712918780567,-0.5727201727383202,0.6211106794468629,0.23339560883174482,-0.2242150131796347
Vanguard Long-Term Treasury ETF,Debt,Government/Agency-LT,,23.20035779,15.5676815,down,0.7,0.33,0.37,0.7089696737768965,0.20427479021547473,0.3460213077769395,-0.5191416261221383,0.1677152072463291,-0.036697991751453204,-0.1771569810670323,-0.07568308514120353,-1.1572244117420298,0.2756226758719493,0.7296966117079831,-1.250136318925487,0.38002068549850365,-0.27512939189494623,0.5993871708008695,-0.1077911316857214,0.4928474321510934,0.01711802849222796,0.6020619098727077,-0.08121292260963223,-0.08730773972125457,0.04869667984337275,0.16698539417513356,-0.15625086924004752,0.4778415706822982,-0.43857641779498374,-0.11216078404811744,0.21972662683844507,0.22195869950909636,-0.2080142129368831,0.8620684102012917,-0.1774961881156092,-0.3094379736773839
SPDR Portfolio Long Term Treasury ETF,Debt,Government/Agency-LT,,23.17620337,15.54856837,down,0.74,0.33,0.41,0.7599001329359776,-0.008969291230611444,0.25285509311235516,-0.3174916416807558,0.1294047830440119,0.08226406641134139,-0.1323367594435357,-0.15722989296674283,-1.1157391059596744,0.2450851595861166,0.6885743097397364,-1.114766424598048,0.35151533592678735,-0.0670146342446083,0.3026020991253879,0.1446016822790185,0.32450778892434035,0.12208690111597666,0.6758090944331347,-0.3996544817981076,-0.26653385151857706,0.21882730315662594,0.14635939184561594,-0.28238583191012956,0.4476620745219403,-0.5031701531314936,-0.03396626569804504,0.25592445683780407,0.24571341269469765,-0.26641767074132705,0.6643107532776208,-0.2814373470511929,-0.167990506055507
SPDR Bloomberg High Yield Bond ETF,Debt,Corp/Pref-High Yield,,4.587258751,3.672951876,down,0.59,0.33,0.26,0.00398174033722429,-0.23179489660256347,0.5420748227856373,-0.08195363512597706,-0.045540978227331025,-0.08982110987603559,0.22733088585845665,0.17240141662836,-0.10212773925854038,-0.1918221332263183,1.5972244176293087,-0.6133115586965247,0.5089789499012941,0.17780219388541452,-0.24343411689652664,0.2996802079452818,-0.41994558786032293,-0.42292720315065874,-0.734274507796429,-0.33423617123656313,0.37765541071038156,-0.3752575284852583,0.5801931623404475,-0.3548480517005973,-0.03623813729786898,0.13683395116749336,-0.16888805618320593,0.11233800118169125,-0.26870759493199137,0.4027695258373501,-0.11695899887773557,-0.15609949196669498,0.04232268823423459
Schwab Intermediate-Term U.S. Treasury ETF,Debt,Govt/Agency-Inter Term,,5.626096999,4.998596626,down,0.67,0.33,0.34,0.8223583218147115,0.2556799323217515,-0.21509041553605182,-0.6364832423312469,0.05824235256106039,0.01059321935917335,-0.4370375057689946,-0.4146689583480352,-0.6431935952632172,-0.4812462057412335,1.0543954043727293,-1.3280306852880273,0.09413534253463204,0.35904557307972573,0.1338824856969002,0.037350628698598266,-0.09331321584534895,-0.44646050028447953,-0.41599745309508834,-0.3725608020099693,0.31898950892283157,0.28758802608531797,0.11441194960832948,-0.019686337058747828,0.6895026168084014,-0.5513931324697084,0.0500055658978102,0.03673789223569122,-0.013717893396795376,-0.1585237867253463,0.3587701246431023,-0.10564514782262455,0.0905710771859868
iShares 10-20 Year Treasury Bond ETF,Debt,Government/Agency-LT,,17.53182797,13.19052737,down,0.67,0.33,0.34,0.8042281321808814,0.12759450278912945,-0.06825059264373709,-0.3098730475652685,0.15955400393931773,0.2448487064857934,-0.18840238936137427,-0.10312062202036215,-0.8008580649342094,0.0036219182857052967,0.4831273544798398,-1.317153716619743,0.4359987234035853,0.6385941274752521,-0.04658861857703344,0.05096690606720365,0.3140449568109498,0.02233073641986481,0.288982109117102,-0.4195035090992679,-0.1256729548315122,0.154176054294755,0.08965759149697429,-0.1584963616180431,0.44740084265950064,-0.5539166987409567,-0.011746113644146013,0.2557218624336452,0.17361265168040657,-0.2854354530494181,0.6961011603580763,-0.16724729352181628,-0.2965434951992494
SPDR Portfolio Aggregate Bond ETF,Debt,Government/Corporate,,8.976875192,6.260060916,down,0.63,0.33,0.3,0.03115146468392352,-0.0029069774635397685,0.0920881698193073,-0.057399953167051126,0.7603903079112446,-0.4160726374685135,-0.35423369564304913,0.044795855692824994,-0.6073573308538042,-0.294097033225238,1.1659364004059176,-1.3684683896789325,0.25463762124332684,0.15178718678033726,0.24590622576145266,0.6905845350832551,0.5912935469438918,0.3178762873770371,-0.08933560961763078,-0.7361910191573399,-0.03768005099326546,0.07962219983180223,0.3461176805895549,-0.5620384625691768,0.39691446092931965,-0.4589156413938673,0.09862713420544866,0.013273331332450846,-0.11058324333551736,-0.22649821839659412,0.5746223119712558,0.003991863197774923,-0.016930317801996074
Schwab U.S. Aggregate Bond ETF,Debt,Government/Corporate,,8.760786155,6.103590235,down,0.63,0.33,0.3,-0.00433293167874909,0.33696455494743305,0.22032219561072688,-0.023625800795953136,0.4990682534073512,-0.41520293340092884,-0.29278093838920527,-0.00488356862874193,-0.6886405163413841,-0.3601531660494618,1.1254790266939905,-1.390669450243859,0.37606839579691115,0.4385364139431412,0.3070364084203226,0.18465155230681124,0.04220176869061885,0.01285545278809311,-0.19094016056375812,-0.6455225370928714,-0.07979500307837549,0.36592011907053845,0.22480737972494183,-0.6058882533744775,0.4980875841547374,-0.4992492671345809,0.07091379940898761,0.02431542649606289,0.17895666020787335,-0.32415959570634156,0.4725374226165554,0.05939371868642657,0.03346474803525047
