name,assetclass,subgroup,style,maturity,duration,direction,accuracy,observed,improvement,pmi.above,nmi.above,cpi.above,pmi1m.above,pmi3m.above,pmi6m.above,pmi9m.above,pmi12m.above,nmi1m.above,nmi3m.above,nmi6m.above,nmi9m.above,nmi12m.above,cpiyoy1m.above,cpiyoy3m.above,cpiyoy6m.above,cpiyoy9m.above,cpiyoy12m.above,cpiyoy1m.diff,cpiyoy3m.diff,cpiyoy6m.diff,cpiyoy9m.diff,cpiyoy12m.diff,pmi1m.diff,pmi3m.diff,pmi6m.diff,pmi9m.diff,pmi12m.diff,nmi1m.diff,nmi3m.diff,nmi6m.diff,nmi9m.diff,nmi12m.diff
Vanguard Short-Term Bond ETF,Debt,Govt/Corp Short Term,,2.841809608,2.597527713,up,0.67,0.56,0.1,-0.3426155939938363,-0.14428474590482232,0.34008483159729386,0.5045463271038132,-0.47834328995136755,-0.3161194286458737,0.21486835113689,-0.055682267062200454,0.5027926723045447,0.2471321250105218,-1.0391581149843487,1.1811836732033356,0.026505062367611347,-0.30772813631793006,0.011836655737256742,-0.35194123825238505,0.06487633058386816,0.11258350026853567,0.22917570604696713,0.602802437059325,-0.44922507735861894,0.058520803350414395,-0.23917850126584997,0.056925186788920355,-0.541117448285178,0.5657242625871602,-0.27320814407095384,0.15233138565903145,0.08970844368473802,0.23049340941304902,-0.4368868155392542,0.07830854225512279,0.009297121590863622
SPDR Bloomberg 1-3 Month T-Bill ETF,Debt,Govt/Agency-Short Term,,0.097033979,0.093004709,up,0.81,0.71,0.1,-0.5315464256850138,0.7061548834916412,0.9797301939790356,-0.7059810100961867,-1.5037921391237659,-0.23648063776164951,-0.002134628508252414,0.3129366920073767,-0.9353537641394937,0.2423431469529602,-0.7467613626884757,-0.04170453221911537,0.14227659228356804,0.43977436314735585,0.058964683497600624,-0.4327304654320637,-0.1688693880396662,-0.8213661744285522,0.05858662280578052,-0.7556393663875985,-0.33886885693326413,-0.20168072500986778,0.7680005670654257,0.20959713797876656,0.6140523223076928,0.03658879787056165,-0.74576196033723,0.29960686351252863,0.11854237145333071,-0.19822549353289895,-0.58784429230198,0.5986467045071362,0.036080744198367196
iShares Gold Trust,Commodity,Commodity,,,,up,0.56,0.46,0.1,0.1995411634368972,0.11036984058337956,0.18343620623199886,-0.5002625796602359,0.577297270139793,0.026783106000854824,-0.15472491817941011,0.03454957402676556,0.2322697997710234,0.010025405995091505,-0.393105284151255,0.966631367875935,-0.36331286308223854,0.3289482535177826,-0.22989158210207158,-0.34063819933623174,0.2371796933514136,-0.1412706544557863,0.3373658628073969,0.318719150668132,-0.22508427300087516,0.3571745450338313,-0.6697955355872919,0.31733244244335423,-0.3843959751898647,-0.04267730455245027,0.5750659463711016,-0.21722019437815096,-0.27473966975153,0.5239266016560822,-0.2530454072339696,-0.006072334697473095,-0.28160667607207535
SPDR Portfolio Short Term Corporate Bond ETF,Debt,Corporate/Preferred,,1.942642676,1.804814772,up,0.74,0.65,0.09,0.22338448904721092,0.09129458488494722,0.10122604696072128,0.5185864311591595,-0.5275253958236787,0.23399605954462768,0.19083454284285506,0.09251762140822448,0.24752255081848282,0.15653913333632866,-0.8258215517409768,0.8205205903031229,-0.45782307397379196,0.1939055099090399,0.1938986112008898,-0.9662299514552722,-0.12142449190771959,0.330387087592755,0.07935483141993085,0.02546066449611697,-0.30766839693305187,-0.016662909693042818,-0.24790082794637808,0.634676183199572,0.004352643875311669,0.018987928772546247,0.12204340570224023,-0.031146039368445566,0.11884305587795582,0.0754871243951508,-0.3609636643328643,-0.03375886248513168,-0.024906999525416074
Vanguard Total Bond Market ETF,Debt,Government/Corporate,,9.317368452,6.45676513,up,0.67,0.58,0.09,-0.055303993746930166,-0.1699194821600568,0.05098614241217036,-0.04893972934144883,-0.48156787798227957,0.5054573103574371,0.43554016560533826,0.4074979618235629,0.4571032569298845,0.2043107394458768,-1.2090436870642765,1.4455910879108216,-0.15527377570681447,-0.08879210319729919,-0.15323158081170768,-0.8037851869468571,-0.45684402008284936,-0.3005985034148475,0.12516570826029447,0.8977881973281846,0.032351403374903276,-0.36199449574722664,-0.09508650302109914,0.44797077807490504,-0.42797969128673613,0.6256982471563188,-0.0676174708253328,-0.1271292729431985,-0.03562610768402321,0.28254987073375104,-0.6645822207516983,0.04321331904796063,-0.02273234959716422
iShares TIPS Bond ETF,Debt,Government/Agency,,7.766649952,6.716482128,up,0.67,0.58,0.09,-0.4826089561979067,-0.19368328883028715,-0.16595637945149555,0.654032204690855,-0.2441108039689165,0.10810583481696678,0.36579402754714413,-0.20233931827276694,0.7010595308804719,0.4913729384988747,-1.4705580326367949,1.2565677113464948,0.09218272314864416,-0.4989919041290453,0.22899721731914402,0.39382790109883525,-0.5806469214347146,-0.44961257719085834,0.33425240179296606,0.2022739611016649,0.20218061480125446,0.15231406685988919,-0.19251445209370002,0.39963641081646356,-0.6333382270003308,0.5228114915101573,-0.12785741077150078,0.08585092935606739,-0.4240046382637956,0.6475705109424704,-0.6539664523910315,-0.33870242078505236,0.37647492816986833
iShares 5-10 Year Investment Grade Corporate Bond ETF,Debt,Corp/Pref-Inv Grade,,7.431257305,6.132573608,up,0.67,0.59,0.08,-0.5162400850259213,-0.28107870407342417,-0.3383932941800415,0.08418029215833321,-0.35711352249201406,0.4690132833218165,0.20285566267923832,0.13490088178418902,0.5678690135516263,0.3291453943672189,-1.1454697525962552,0.9935769308475746,0.1355661847604698,0.1536533914215855,-0.16945773697270758,-0.4047360457344852,-0.3271022258042904,-0.14983424371775572,0.6442339161393292,0.40675557751592056,-0.07255247628603453,-0.01730552452221314,-0.1735221199704359,0.765175012579308,-0.5558605876293773,0.38576068380717826,-0.023958495314258133,0.014534786697637433,0.0032168907321004684,0.23199453476386078,-0.40800492506030583,0.1203481325466142,-0.17207396034412295
iShares 3-7 Year Treasury Bond ETF,Debt,Govt/Agency-Inter Term,,4.839958765,4.375369549,up,0.59,0.53,0.07,-0.8437257275980922,-0.26599460838525674,0.16507646043228336,0.6305578484038187,-0.02665831095800349,-0.1296597654073655,0.31113250861814623,0.20457358142839832,0.6373384723777434,0.35860057112875027,-0.9875980752814192,1.2046038589002617,0.0671426342389659,-0.2918423165247938,-0.13409053503481444,0.11866144177071797,0.15191863223684435,0.3477237031846062,0.2875876917190262,0.44712993750500696,-0.3681349448101584,-0.30729632626257614,-0.04304090164674178,-0.10042397150088454,-0.5417122932235815,0.4767474832554349,-0.1515970931901651,0.06624744719731858,-0.14178878187519686,0.33169115282960865,-0.5328995125787203,0.0763159760433578,0.045108933889352124
Vanguard Intermediate-Term Bond ETF,Debt,Govt/Corp Intermediate,,7.28308481,6.215876201,up,0.63,0.56,0.07,0.11578606787378402,-0.057073677266422145,-0.024956479213478624,-0.2750416531934781,-0.6195961172268372,0.6748581765006149,0.5287207577256777,0.13961417434083753,0.6162779619379042,0.17546295972438536,-1.2623573121388862,1.1817021977954363,-0.23197150161884209,-0.6514880399980044,-0.10541257234089393,-0.2646279369221608,-0.28423364032175663,-0.07795346550559316,0.12450169324985182,0.5934662544132268,0.010084685341113916,-0.30847320886259216,-0.18424822772020008,0.5230567507487752,-0.42056729441560226,0.39725137462503907,-0.06304220798936404,-0.03609024089159045,0.08514240292862728,0.20338495621528416,-0.4380134924202221,0.006533742613109681,-0.07912441175358306
Vanguard Intermediate-Term Corporate Bond ETF,Debt,Corporate/Preferred,,7.39993474,6.121704011,up,0.67,0.6,0.07,-0.126664543384495,-0.3067248506498306,-0.36053205641708963,0.05296245980771792,-0.44673286666730166,0.2707545254182129,0.24999071382788418,-0.42529117540065886,0.5231694565644591,0.18183150698850295,-0.6563618354268042,1.4075739006854964,-0.34027215677293715,-0.3171857264778169,-0.23543674579348894,-0.000521911805258809,-0.2661722333133176,-0.29295869540639574,0.28189659051265403,0.5787432869271188,-0.15790934516261948,-0.14445073642738834,-0.12271555415600843,0.9055994841254876,-0.6466931730830159,0.3870832139864166,-0.0990744910927645,0.09264876104366328,-0.13384417325070033,0.3079222547758284,-0.4252354840790928,0.1358957506829481,-0.17299227332561698
SPDR Gold Shares,Commodity,Commodity,,,,up,0.52,0.45,0.07,0.2524735901671346,-0.0031500029663890502,0.08548204337268055,-0.4896017084205226,0.5591500876066631,-0.1447395972700003,0.029508523924193994,0.14145010157825388,0.2050540185654682,-0.026030484736426485,-0.40887565411549226,1.0144299090275675,-0.4370465213703717,0.31633074193247235,0.019459553664174265,-0.46161853515419843,0.07081810301808494,-0.07232856946587779,0.4400045125455594,0.2942081921220895,-0.22417064757775956,0.3787862012443853,-0.6564221890901091,0.28024865585694964,-0.3918871290868089,0.011322449797940722,0.5632299814246707,-0.22734961757054595,-0.4447012642298373,0.6103187928047817,-0.28962497685954386,-0.052895501658547346,-0.23856811886382442
Schwab Short-Term U.S. Treasury ETF,Debt,Govt/Agency-Short Term,,1.954342007,1.832508683,up,0.67,0.59,0.07,-0.729608547578014,-0.339673372960552,0.536061888429614,0.47277494618246396,-0.1710337000341498,0.013845451355581247,0.02529280231124115,0.1802969738430438,0.3995340649810372,0.3569123698116701,-0.979238547699701,0.7958511518520438,0.3552891062489164,-0.3378385486513032,0.21439946705885674,0.23874458519510494,-0.31862237002794463,-0.2260393130537382,0.3183079708432473,0.8987481092828672,-0.3822332604111022,-0.20870945515720907,0.03941563214660134,-0.1412730042262078,-0.4200856607341627,0.6197915340249058,-0.06255253045411796,-0.04469087801905376,-0.41412329958632577,0.22241551605515156,-0.4697325062675796,-0.04715642519813019,0.16034452739479474
Vanguard Short-Term Corporate Bond ETF,Debt,Corporate/Preferred,,2.858215381,2.569087626,up,0.67,0.61,0.06,-0.34529552798901636,-0.2101563276215022,-0.1926126914667169,0.33586778299789977,-0.45519272849023074,0.6399983820271381,-0.35901448991596485,0.3806766648100105,0.5444206070287075,0.30436421732777513,-0.8046783004572148,0.9582212740970503,0.09412617643998648,-0.43182127161425427,-0.4715184282585994,0.05974680467961885,0.34440722315108885,-0.12859026907862528,0.41079786685541586,0.6889194907729285,-0.5446114654501252,0.03897433843377272,0.010785536578791775,0.36047610571186534,-0.22038656761077619,0.3301713080690819,-0.07081328266490854,0.07049914598077024,0.14608950067747972,0.05659503244102541,-0.41489468386524014,0.2618860942390037,-0.2780137093831296
iShares 1-5 Year Investment Grade Corporate Bond ETF,Debt,Govt/Corp Short Term,,2.941271678,2.618746335,up,0.7,0.65,0.06,0.05272308860507292,-0.056318092010639406,0.05687644956192211,0.5769921426066665,-0.5986759154789693,0.6842139040587008,-0.5310899432846184,0.015421961772870809,0.2765207870402264,0.1900410154671929,-1.061730592085471,0.7099867398488394,-0.333898960146963,-0.23768183003486562,0.07989605362423108,-0.412618505394594,-0.008495980383687885,-0.3299587900924264,0.15220907716021215,0.7169653689463148,-0.6089601042055508,0.042494905464139136,-0.022587759566300113,0.6314235247991403,-0.02101845829951305,0.020737384949561954,0.2304030668431126,-0.08477928399190672,-0.19429415622906882,0.013243272965009056,-0.2633922027828488,0.19617964609598829,-0.2157566796345891
Schwab U.S. Aggregate Bond ETF,Debt,Government/Corporate,,8.760786155,6.103590235,up,0.63,0.57,0.06,0.00433293167874909,-0.33696455494743305,-0.22032219561072688,0.023625800795953136,-0.4990682534073512,0.41520293340092884,0.29278093838920527,0.00488356862874193,0.6886405163413841,0.3601531660494618,-1.1254790266939905,1.390669450243859,-0.37606839579691115,-0.4385364139431412,-0.3070364084203226,-0.18465155230681124,-0.04220176869061885,-0.01285545278809311,0.19094016056375812,0.6455225370928714,0.07979500307837549,-0.36592011907053845,-0.22480737972494183,0.6058882533744775,-0.4980875841547374,0.4992492671345809,-0.07091379940898761,-0.02431542649606289,-0.17895666020787335,0.32415959570634156,-0.4725374226165554,-0.05939371868642657,-0.03346474803525047
SPDR Portfolio Intermediate Term Corporate Bond ETF,Debt,Govt/Corp Intermediate,,4.808855855,4.116254902,up,0.63,0.58,0.05,-0.2630933441895451,-0.23691655873831383,-0.131698543936831,0.25830496006070447,-0.6087096986748277,0.5069216430045853,-0.061062643410181236,-0.3605773175173887,0.569929783455015,0.24907993351000363,-1.0174340030601987,1.2229479555630212,-0.18501919930632232,-0.10147411398906012,0.012670726964092164,-0.3082022886353588,-0.2869549083918788,-0.2312371250846302,0.5681061628424471,0.540816957278564,-0.16592506358871292,0.1294265095115866,-0.3082076105726681,0.6964100591364786,-0.4932681558251745,0.33466017777948914,0.008541508909253048,0.031376850990887495,0.02886300143853147,0.2751096053569489,-0.33997161205355864,-0.010997941655180792,-0.09610355754879313
